dataset,parameter,marginal_contribution_accuracy,marginal_contribution_runtime
fmnist,batch_size,0.11421709502108934,0.0757816623262233
fmnist,epochs,0.025405465713763297,0.8915761922577927
fmnist,h_flip,1.3327373985834727e-05,6.489142140309519e-06
fmnist,learning_rate_init,0.10048306901201066,5.69182746111559e-05
fmnist,lr_decay,0.0057650404340762506,1.7040867110275753e-05
fmnist,momentum,0.15331915591931033,2.2130082374648616e-05
fmnist,patience,0.005162901458413913,4.601828029914162e-05
fmnist,resize_crop,0.001984703373869727,3.394541465812046e-06
fmnist,shuffle,0.0015600110689177153,2.031593003147109e-06
fmnist,tolerance,0.004348166883073574,2.1503489309299527e-05
fmnist,v_flip,8.752770579637892e-05,2.4033522205484704e-06
fmnist,weight_decay,0.05795982142217521,5.95135377099848e-05
