200 50.0 -0.04972476348876953 2813.242620229721 18 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.051132067108154294 2941.2809529304504 19 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.05027682418823242 3101.0425612926483 20 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.049073130798339845 3237.24258518219 21 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.050462607574462894 3359.39249420166 22 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.05024966049194336 3500.392478942871 23 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.051176009368896484 3680.1475110054016 24 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.05000875244140625 3797.0634372234344 25 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.049698905181884766 3946.5474379062653 26 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.05024554443359375 4090.00759100914 27 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
