200 90.36 -6.584622900390625 803.632016658783 18 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 90.3 -6.592420166015625 845.9043974876404 19 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 90.34 -6.582340966796875 888.1889255046844 20 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 90.34 -6.597737841796875 930.4630134105682 21 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 90.34 -6.59510380859375 972.7698640823364 22 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 90.35 -6.599350830078125 1015.0485398769379 23 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 90.35 -6.59289296875 1057.3345983028412 24 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
201 82.01 -5.905452685546875 56.99665975570679 0 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 86.36 -6.843960986328125 113.80381345748901 1 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 89.72 -7.30564384765625 170.59017419815063 2 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
