200 97.34 -7.78097900390625 801.4966189861298 18 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 97.33 -7.760535693359375 843.6495037078857 19 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 97.33 -7.764866552734375 885.8006925582886 20 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 97.34 -7.778231201171875 927.9668624401093 21 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 97.33 -7.768604736328125 970.1378743648529 22 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 97.33 -7.773804248046875 1012.296516418457 23 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 97.33 -7.7771619140625 1054.4498381614685 24 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
201 97.23 -7.04004716796875 56.59893321990967 0 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 98.6 -8.198235693359376 113.2548098564148 1 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.03 -8.773312890625 169.9123044013977 2 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 98.8 -8.71639619140625 226.59133529663086 3 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 98.87 -8.8641427734375 283.25186014175415 4 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.07 -9.12476474609375 339.90977120399475 5 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.27 -9.43801005859375 396.5619158744812 6 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.3 -9.612012109375 453.23918294906616 7 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.38 -9.66541435546875 509.88978934288025 8 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.36 -9.8212330078125 566.4930429458618 9 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.25 -9.62000791015625 623.0977296829224 10 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.42 -9.98975361328125 679.6863255500793 11 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.29 -9.92451416015625 736.2684450149536 12 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.35 -10.1046619140625 792.8704497814178 13 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.44 -10.09876337890625 849.4506030082703 14 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.51 -10.3754083984375 906.0305840969086 15 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.43 -10.27696689453125 962.5941665172577 16 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.51 -10.37631796875 1019.177610874176 17 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.42 -10.49260029296875 1075.7286024093628 18 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.43 -10.66062587890625 1132.2808372974396 19 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
201 99.39 -10.35855029296875 1188.8548777103424 20 {'batch_size': 32, 'epochs': 27, 'h_flip': False, 'learning_rate_init': 0.0011357872168695977, 'lr_decay': 290, 'momentum': 0.7128574911351425, 'patience': 29, 'resize_crop': True, 'shuffle': False, 'tolerance': 2.7721285034269222e-05, 'v_flip': False, 'weight_decay': 0.0007421195434275538}
